ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
396278,Avokádo. ks,avokado. ks,1.38,0,NONE,-1,57,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396279,Limety ks,limety ks,0.57,0,NONE,-1,253,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396280,Kiwi ks,kiwi ks,0.57,0,NONE,-1,173,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396281,Tesco Maliny 125 g,tesco maliny 125 g,3.47,0,GRAMS,125.0,64,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396282,Tesco Hrozno bezkôstkové mix 500 g,tesco hrozno bezkostkove mix 500 g,3.7,0,GRAMS,500.0,25,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396283,Tesco Finest Hrozno tmavé bezkôstkové 400 g,tesco finest hrozno tmave bezkostkove 400 g,3.65,0,GRAMS,400.0,42,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396284,The Grower's Harvest Jablká červené. balené 2 kg,the grower's harvest jablka cervene. balene 2 kg,2.31,0,GRAMS,2000.0,18,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396285,The Grower's Harvest Jablká zelené 2 kg,the grower's harvest jablka zelene 2 kg,2.31,0,GRAMS,2000.0,6,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396286,Tesco Berry mix 300 g,tesco berry mix 300 g,5.29,0,GRAMS,300.0,65,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396287,Tesco Citróny 500 g,tesco citrony 500 g,1.38,0,GRAMS,500.0,146,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396288,Tesco Pomaranče balené 1 kg,tesco pomarance balene 1 kg,2.19,0,GRAMS,1000.0,252,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396289,Bio citróny 500 g,bio citrony 500 g,1.73,0,GRAMS,500.0,10,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396290,Tesco Finest  Avokádo,tesco finest  avokado,1.96,0,NONE,-1,187,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396291,Tesco Čučoriedky 500 g,tesco cucoriedky 500 g,5.99,0,GRAMS,500.0,131,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396292,Growers Harvest Hrušky balené 1 kg,growers harvest hrusky balene 1 kg,2.31,0,GRAMS,1000.0,11,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396293,GH Hrozno tmavé bezkôstkové 500 g,gh hrozno tmave bezkostkove 500 g,3.47,0,GRAMS,500.0,16,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396294,Tesco Jahody 500 g,tesco jahody 500 g,3.12,0,GRAMS,500.0,72,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396295,Tesco Bio uhorky,tesco bio uhorky,1.5,0,NONE,-1,41,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396296,Reďkovka červená zväzok,redkovka cervena zvazok,0.89,0,NONE,-1,275,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396297,Pór ks,por ks,1.38,0,NONE,-1,18,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396298,Mrkva zväzok ks,mrkva zvazok ks,1.29,0,NONE,-1,60,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396299,Tesco Cesnak 3 ks,tesco cesnak 3 ks,2.31,0,NONE,3.0,23,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396300,Cibuľka lahôdková ks,cibulka lahodkova ks,0.79,0,NONE,-1,219,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396301,Veselá paradajka Paradajky cherry San Marzano 250 g,vesela paradajka paradajky cherry san marzano 250 g,3.24,0,GRAMS,250.0,16,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396302,Tesco Baby paradajky podlhovasté 250 g,tesco baby paradajky podlhovaste 250 g,3.7,0,GRAMS,250.0,32,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396303,Tesco Paradajky kokteilové na stonke 400 g,tesco paradajky kokteilove na stonke 400 g,3.24,0,GRAMS,400.0,29,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396304,Tesco Paradajky strawberry 300 g,tesco paradajky strawberry 300 g,3.35,0,GRAMS,300.0,45,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
396305,Tesco Paradajky cherry na stonke 250 g,tesco paradajky cherry na stonke 250 g,3.24,0,GRAMS,250.0,38,OVOCIE_ZELENINA,18,2,2024-05-02 19:00:32,2024-05-02 19:01:44
